                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2224,                 4.2606,                 1.0467,                0.07487,                0.56452,                 0.3265,                0.23418,                 1.2295,                 4.4267,                0.98113,             0.00017226,             0.00017226,             0.00017226
                      2,                  1.016,                 2.3208,                0.95494,                0.73185,                0.29032,                0.48198,                0.32261,                 1.1896,                 3.3398,                0.95587,             0.00033602,             0.00033602,             0.00033602
                      3,                0.98298,                 1.8946,                0.93618,                 0.6723,                0.42742,                0.52063,                0.38961,                 1.1233,                 2.2831,                0.99663,              0.0004881,              0.0004881,              0.0004881
                      4,                0.94865,                 1.6983,                0.93446,                 0.6525,                    0.5,                0.58105,                0.41152,                 1.1105,                 2.1096,                0.98405,             0.00047345,             0.00047345,             0.00047345
                      5,                0.96334,                 1.5246,                0.93023,                 0.6846,                0.59518,                0.66774,                0.46317,                 1.0911,                 1.6419,                0.98306,             0.00045594,             0.00045594,             0.00045594
                      6,                0.92541,                 1.4038,                0.91946,                0.63506,                0.68548,                0.70435,                0.50381,                 1.0518,                  1.457,                0.96273,             0.00043842,             0.00043842,             0.00043842
                      7,                 0.8629,                 1.2194,                0.90933,                0.68001,                0.74194,                0.74914,                0.52064,                 1.0683,                 1.2028,                0.95636,             0.00042091,             0.00042091,             0.00042091
                      8,                0.87171,                 1.1196,                0.89872,                0.65286,                0.70968,                0.71291,                0.51981,                 1.0354,                 1.2341,                0.96443,             0.00040339,             0.00040339,             0.00040339
                      9,                0.82874,                  1.061,                0.88795,                0.68352,                 0.6967,                0.69744,                0.51153,                 1.0219,                 1.1765,                0.95256,             0.00038587,             0.00038587,             0.00038587
                     10,                0.83339,                 1.0196,                0.88515,                0.68225,                0.69355,                0.68758,                0.49749,                  1.038,                 1.2178,                0.95146,             0.00036836,             0.00036836,             0.00036836
                     11,                0.82202,                0.95826,                0.87703,                0.74631,                0.66935,                0.73135,                0.53608,                0.97444,                 1.1341,                0.93229,             0.00035084,             0.00035084,             0.00035084
                     12,                0.81442,                0.90039,                0.88474,                0.80866,                0.68169,                0.76478,                0.56538,                 0.9888,                 1.0702,                 0.9416,             0.00033333,             0.00033333,             0.00033333
                     13,                0.77016,                 0.8372,                0.86801,                0.72382,                0.75806,                0.77954,                  0.564,                 1.0097,                 1.0281,                0.95741,             0.00031581,             0.00031581,             0.00031581
                     14,                0.79084,                0.81971,                0.87184,                0.76759,                0.74194,                0.78845,                0.58894,                0.93878,                 1.0312,                0.93085,             0.00029829,             0.00029829,             0.00029829
                     15,                0.73376,                0.78364,                0.85674,                0.82399,                0.70968,                 0.7675,                0.57702,                0.97162,                  1.006,                0.93305,             0.00028078,             0.00028078,             0.00028078
                     16,                0.76856,                0.78368,                0.87489,                 0.8153,                0.74194,                0.79151,                0.59558,                0.95504,                  1.026,                0.92021,             0.00026326,             0.00026326,             0.00026326
                     17,                0.73728,                0.72849,                0.85862,                0.84697,                0.74194,                0.80263,                0.59745,                0.96184,                0.97795,                0.92354,             0.00024575,             0.00024575,             0.00024575
                     18,                0.72508,                 0.7075,                 0.8571,                0.80239,                0.74194,                0.77663,                0.58388,                0.94099,                 1.0194,                0.90773,             0.00022823,             0.00022823,             0.00022823
                     19,                0.73004,                0.68529,                0.86392,                 0.8405,                0.79839,                0.81827,                0.63241,                0.89045,                  0.885,                 0.9001,             0.00021072,             0.00021072,             0.00021072
                     20,                0.70391,                0.67576,                0.84878,                0.80888,                0.79839,                0.80564,                0.61962,                0.88858,                0.86799,                0.89719,              0.0001932,              0.0001932,              0.0001932
                     21,                0.64793,                0.65122,                0.82981,                0.82459,                0.79613,                0.83852,                0.65245,                0.86977,                0.86827,                0.90816,             0.00017568,             0.00017568,             0.00017568
                     22,                0.61959,                0.62545,                0.82938,                0.81378,                0.74194,                0.81548,                0.63702,                0.86874,                0.88102,                0.90142,             0.00015817,             0.00015817,             0.00015817
                     23,                0.61016,                0.61076,                0.82168,                0.80453,                0.79664,                0.83676,                0.65567,                 0.8778,                0.83999,                0.90025,             0.00014065,             0.00014065,             0.00014065
                     24,                0.60357,                0.58722,                0.81962,                0.81282,                0.77419,                0.82905,                0.63993,                0.87292,                0.88905,                0.89789,             0.00012314,             0.00012314,             0.00012314
                     25,                0.60014,                0.57792,                 0.8239,                0.79925,                0.83871,                0.86195,                0.66873,                 0.8716,                0.80668,                0.90604,             0.00010562,             0.00010562,             0.00010562
                     26,                0.57488,                0.56029,                0.82552,                0.86396,                0.77419,                0.85263,                0.65529,                0.84878,                0.80575,                 0.8972,             8.8105e-05,             8.8105e-05,             8.8105e-05
                     27,                0.57747,                0.56009,                0.82527,                0.89754,                0.77712,                0.88205,                0.67832,                0.86212,                0.76677,                0.90321,             7.0589e-05,             7.0589e-05,             7.0589e-05
                     28,                0.56199,                0.54227,                0.81393,                0.86129,                0.78226,                0.88599,                0.68729,                 0.8583,                0.75274,                0.89694,             5.3073e-05,             5.3073e-05,             5.3073e-05
                     29,                0.55046,                0.53219,                0.81369,                0.86781,                0.81452,                0.88615,                0.68741,                0.83771,                0.75812,                0.89402,             3.5558e-05,             3.5558e-05,             3.5558e-05
                     30,                0.53251,                0.51451,                 0.8074,                0.85962,                0.81452,                0.87687,                 0.6915,                 0.8377,                0.75403,                0.89397,             1.8042e-05,             1.8042e-05,             1.8042e-05
